mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
-306.02739867087087,92.6702349598167,8.491312252874465,23.965405103998062,7.477992542322186,-5.7594557616013855,-11.883088909992077,-9.676735470132448,-3.9967478659256463,-13.352563801259578,0.4081971732806827,-9.709486125627128,-6.127124495508445,3
-346.39959784104883,95.83912228478707,10.516282620858489,31.619214578566076,15.872089173534025,-6.845447639879608,-6.629935319348628,-4.9787273987691405,-5.310654883229466,-10.283517032000411,-2.5343663508051426,-7.255390054095084,-6.153907567038767,5
-321.4202815487836,94.76091259324937,8.15539699299934,23.32324326282756,11.719158086484894,-7.1163319840872346,-8.534803681812766,-4.996965404371311,-4.994400232861729,-13.706509987990943,-3.3574137029911446,-8.45417382935687,-6.561941335538542,4
-303.30372465108314,92.52889515661118,4.231231419108343,27.970134319412445,10.869824067285995,-11.878344889609428,-10.095111663174217,-7.1497302884738865,-7.651759312609324,-17.08590103536305,-0.20102552573808097,-8.867323852614637,-9.35776760913634,1
-335.49593050592034,100.3933123267027,9.384935414586678,30.16090776365253,11.466775492866002,-3.333669559262388,-8.350987066114095,-9.757345251793513,-6.0793280536373615,-12.109532024887747,1.537680564241706,-9.795645658532738,-3.4720602466618224,0
-365.18563278912075,97.09255428733329,15.73734941405351,34.22103093296736,18.323436482322812,-4.581418533507525,-6.3896387164190624,-4.885024206010709,-4.770392845838955,-10.993267212079356,-1.7111341622267837,-8.973213348189038,-5.371083753957482,2
-270.1803502806593,92.64467329911795,4.134921879023525,10.847631199871133,-8.362823988870964,0.5843761975187773,-7.600507350271465,-11.471553569615462,-4.967711685815407,-15.289151405318146,6.568863706364661,-13.33916574968574,-6.878928641522733,3
-360.0662363872689,109.19343234891744,12.335655891636502,22.731334739786,6.942801757810183,1.8647588588629531,-4.8600948709211815,-5.740464330679293,-3.9267449285214955,-12.500737598669629,2.2256701233297744,-8.597422301631337,-7.158305385455392,3
-333.4996930322324,107.17394035096865,10.298350911501537,18.22426323879938,0.7590174104264551,2.795392903958205,-5.992715884308111,-13.538231468449057,-3.927397131324636,-11.003767416643349,6.022344109969264,-13.519106239010311,-6.353114125915617,3
-314.379846474766,94.2284614346729,3.809867723045039,21.989120268327664,-0.4636744029681654,-0.9600557186849756,-8.169246620539178,-8.779707992016675,-1.563271231190553,-11.453566925805198,2.168542251267241,-9.735219123740036,-4.771124324525316,5
-402.6230001874855,106.91312445761992,19.91228770212027,18.792428467666397,11.055607942132164,5.017659251193894,4.765216177542204,-4.269276887877651,-8.404421216999589,-8.15369096338917,-0.4702325967413611,-10.569258633400995,-6.025447438892421,5
-359.1291373030712,103.51354280183845,16.054076331043056,15.792935727413026,7.034879617527843,3.8654243805140776,-2.578439255703752,-10.458012978154494,-5.157210778954034,-9.21924562946427,2.8337535794319897,-11.02362192153574,-3.2522706990139674,5
-282.05004160911835,93.42164880797841,1.9224169760056438,12.549128131023858,-1.2334514729628638,-1.3849387042723043,-6.286679927013112,-9.175269498149879,-8.277506807583375,-14.062582410043667,3.5188053000784474,-9.431788118918242,-2.4112101380818483,4
-342.2388747490747,100.36797286346022,18.701795774959887,17.385332799610044,3.6311390010887012,3.8040406495993424,-2.5764061893491355,-10.17666876357822,-8.34796357627967,-11.221912710078572,6.39654748930137,-7.575193082652274,-4.147126547659769,4
-319.0662410511379,98.451001705577,11.072928867678737,16.455580464387676,-0.02297003771181501,-0.19724804844122826,-2.4655931594957563,-8.625198727289,-7.48310387073051,-12.563643610290441,3.4743981317181287,-9.617584895612218,-6.0991151822838665,4
-236.65142347409594,82.38598632509822,-10.377084817433147,5.569653474198018,-6.2881148292306,-4.608173614223712,-9.109256753898668,-12.822048280486575,-8.758861576766302,-12.880167369974505,4.710360891627588,-10.659064884778013,-7.208701122708007,1
-348.8114980067204,102.54649595862904,14.106907282015007,22.10392393824443,3.3461138717494574,6.197009823316597,-4.945970633894368,-10.076103641344915,-6.466468310528434,-11.83627862789834,5.065984595500138,-11.534022536369484,-4.2940496073888745,1
